title,genres,where_to_watch
Jirisan,"Thriller, Mystery, Drama, Fantasy","Viki, iQIYI, TVING, Netflix, Prime Video, Lemino"
Run On,"Romance, Life, Drama, Sports",Netflix
Another Miss Oh,"Comedy, Romance, Melodrama, Supernatural","Disney+ Hotstar, Netflix, WeTV, iQIYI, Viki, Tubi, Prime Video"
Miraculous Brothers,"Mystery, Drama, Fantasy, Supernatural","Viki, Netflix"
The King: Eternal Monarch,"Mystery, Romance, Drama, Sci-Fi",Netflix
Black Knight,"Action, Adventure, Drama, Sci-Fi",Netflix
Solomon's Perjury,"Law, Youth, Drama","Disney+ Hotstar, Netflix, Viki"
My Lovely Liar,"Mystery, Comedy, Romance, Supernatural","Viki, TVING, VIU Indonesia"
To My Star Season 2: Our Untold Stories,"Romance, Drama","Viki, TVING, Tubi"
Black Dog,"Comedy, Life, Drama","Netflix, VIU Indonesia"
Search,"Military, Thriller, Mystery, Horror","Viki, iQIYI"
Uncle,"Music, Comedy, Drama",Viki
The Secret Romantic Guesthouse,"Historical, Mystery, Romance, Drama","Viki, VIU Indonesia, Prime Video, Hulu"
Somehow 18,"Comedy, Romance, Drama, Fantasy",iflix
Inspector Koo,"Action, Thriller, Mystery, Comedy",Netflix
Light on Me,"Romance, Youth, Drama","WeTV, Viki, KOK TV, Kocowa"
Destined with You,"Comedy, Romance, Drama, Fantasy","Netflix, TVING"
"Bring It On, Ghost","Horror, Comedy, Romance, Supernatural","Apple TV, Netflix, WeTV, VIU Indonesia, Prime Video, Tubi"
"Work Later, Drink Now Season 2","Comedy, Life, Drama","Apple TV, TVING, VIU Indonesia"
The Light in Your Eyes,"Romance, Life, Drama, Melodrama","Apple TV, Disney+ Hotstar, Netflix, Viki, iQIYI, Hulu, Tubi"
School 2017,"Mystery, Comedy, Romance, Youth","Apple TV, Netflix, Viki, iQIYI, Kocowa"
The Penthouse Season 3: War in Life,"Thriller, Mystery, Crime, Drama","Netflix, WeTV, Viki, iQIYI, Prime Video, SBS World, VIU Indonesia, Kocowa"
My Holo Love,"Romance, Drama, Sci-Fi, Melodrama",Netflix
Go Ho's Starry Night,"Business, Comedy, Romance, Drama","Viki, Kocowa"
Special Labor Inspector Jo,"Action, Business, Comedy, Drama",Kocowa
Woman of Dignity,"Thriller, Mystery, Romance, Drama","Netflix, Kocowa"
Behind Your Touch,"Thriller, Mystery, Comedy, Supernatural","Netflix, TVING"
Café Minamdang,"Mystery, Comedy, Romance",Netflix
Zombie Detective,"Thriller, Mystery, Comedy, Fantasy","Viki, VIU Indonesia, Kocowa"
The Most Beautiful Goodbye,"Life, Melodrama",K-DRAMA
All-Boys High,"Comedy, Youth",
Uncontrollably Fond,"Comedy, Romance, Drama, Melodrama","Netflix, WeTV, Viki, iQIYI, VIU Indonesia, Hulu"
One the Woman,"Mystery, Comedy, Romance, Drama","Viki, Prime Video, Netflix, Kocowa"
Night Has Come,"Thriller, Mystery, Horror, Youth","Apple TV, Viki, VIU Indonesia, Netflix, Wavve"
Our Blooming Youth,"Historical, Mystery, Romance, Drama","Viki, Prime Video, Netflix"
Why Her?,"Mystery, Law, Romance, Melodrama","Apple TV, Viki, Hulu"
A Piece of Your Mind,"Romance, Life, Drama, Melodrama","Apple TV, WeTV, Viki, iQIYI, VIU Indonesia, Tubi"
Shopping King Louie,"Comedy, Romance, Drama","Netflix, Viki, Kocowa"
Evilive,"Thriller, Mystery, Crime, Drama",Roku
Girls' Generation 1979,"Mystery, Romance, Youth, Drama",KBS World
Into the Ring,"Comedy, Romance, Drama, Political","Netflix, Viki, VIU Indonesia, Kocowa"
Romance Is a Bonus Book,"Business, Comedy, Romance, Melodrama",Netflix
Sassy Go Go,"Romance, Youth, Drama, Sports","Netflix, Viki, KBS World, Kocowa"
Falling for Innocence,"Business, Comedy, Romance, Drama","Apple TV, Netflix, WeTV, Viki, Tubi"
Chimera,"Thriller, Mystery","Viki, TVING, VIU Indonesia"
The Silent Sea,"Thriller, Mystery, Horror, Sci-Fi",Netflix
Eulachacha Waikiki Season 2,"Comedy, Romance, Life, Drama","Netflix, WeTV, Viki, iflix, Prime Video"
Never Twice,"Comedy, Romance, Drama, Family","Viki, Kocowa"
Start-Up,"Business, Comedy, Romance, Youth","Netflix, TVING"
A Breeze of Love,"Romance, Sports",iQIYI
Familiar Wife,"Comedy, Romance, Drama, Fantasy","Apple TV, Netflix, WeTV, iQIYI, Prime Video, Viki"
38 Task Force,"Mystery, Comedy, Crime, Drama","Disney+ Hotstar, Prime Video, Tubi"
Live On,"Comedy, Romance, Youth, Drama","Apple TV, WeTV, Viki, iQIYI, VIU Indonesia"
Haechi,"Action, Adventure, Historical, Political","Netflix, Viki, SBS World, Kocowa"
Chocolate,"Romance, Life, Medical, Melodrama",Netflix
Maestra: Strings of Truth,"Music, Thriller, Mystery, Drama","Disney+, Disney+ Hotstar, Hulu"
Idol: The Coup,"Music, Youth, Drama","iQIYI, Prime Video"
Suits,"Action, Business, Law, Drama","Netflix, VIU Indonesia, Tubi"
Jealousy Incarnate,"Comedy, Romance","Netflix, Viki, SBS World, SBS VOD, Kocowa"
Mask,"Thriller, Psychological, Romance, Melodrama","Viki, SBS World, Kocowa"
On the Verge of Insanity,"Comedy, Life, Drama","Viki, Prime Video, Kocowa"
Money Flower,"Business, Law, Romance, Melodrama","Viki, Kocowa"
True to Love,"Comedy, Romance, Life, Melodrama","Prime Video, TVING"
Doctor Cha,"Comedy, Life, Drama, Medical","Netflix, TVING"
Narco-Saints,"Action, Thriller, Crime",Netflix
Encounter,"Romance, Drama, Melodrama","Apple TV, Netflix, Viki, iQIYI, VIU Indonesia, Hulu"
Not Others,"Mystery, Comedy, Romance, Drama","Viki, TVING, VIU Indonesia, Hulu"
Love Playlist Season 2,"Romance, Life, Youth, Drama","WeTV, PlayList Global"
Growing Season,"Romance, Life, Youth, Drama","WeTV, PlayList Global, Viki, Wavve"
Catch the Ghost,"Thriller, Mystery, Comedy, Romance","Prime Video, Roku"
Remarriage and Desires,"Mystery, Drama, Melodrama",Netflix
To My Star,"Comedy, Romance, Youth","Apple TV, WeTV, Viki, iQIYI, VIU Indonesia"
Korea-Khitan War,"Action, Military, Historical, War","Apple TV, Netflix, Viki, Prime Video, Kocowa"
Island,"Action, Thriller, Horror, Fantasy",Prime Video
"Link: Eat, Love, Kill","Mystery, Romance, Drama, Fantasy","Apple TV, Disney+, Disney+ Hotstar, Hulu"
Black,"Thriller, Mystery, Supernatural","Apple TV, iQIYI, Netflix, Roku"
Persona: Sulli,"Drama, Documentary",Netflix
Love Revolution,"Comedy, Romance, Youth, Drama","Viki, Hulu"
Hwarang,"Action, Historical, Comedy, Romance","Apple TV, Netflix, WeTV, Viki, Roku, Kocowa"
Witch's Court,"Mystery, Law, Drama","Apple TV, Netflix, KBS World, Kocowa"
The Package,"Adventure, Comedy, Romance, Life","Disney+ Hotstar, Netflix, WeTV, Viki, Tubi, TVING"
Secret Royal Inspector,"Historical, Mystery, Comedy, Romance","iQIYI, Prime Video"
My Strange Hero,"Mystery, Comedy, Romance, Youth","Apple TV, Viki, SBS World, Kocowa"
The Law Cafe,"Comedy, Law, Romance","Apple TV, VIU Indonesia, Viki, Kocowa"
Be My Dream Family,"Comedy, Romance, Drama, Family","KBS World, Kocowa"
Mistress,"Thriller, Mystery, Romance, Drama","Apple TV, Viki"
The Eighth Sense,"Romance, Drama, Melodrama",Viki
Would You Like a Cup of Coffee?,"Life, Drama","WeTV, Viki, Kakao TV, Netflix, Tubi, Kocowa"
Do You Like Brahms?,"Music, Romance, Drama, Melodrama","Netflix, Viki, SBS World, VIU Indonesia, Kocowa"
The Witch's Diner,"Psychological, Life, Fantasy, Supernatural","Apple TV, WeTV, Viki, iflix"
The Killer's Shopping List,"Thriller, Mystery, Comedy","Viki, iQIYI, TVING"
Your Honor,"Comedy, Law, Romance, Drama","Apple TV, Viki, SBS World, Kocowa"
Insider,"Action, Thriller, Law",Viki
Love Playlist Season 3,"Comedy, Romance, Life, Youth","WeTV, PlayList Global"
The Good Wife,"Law, Romance, Drama, Political",
Hit the Top,"Comedy, Romance, Life, Drama","Apple TV, Netflix, Viki, Kocowa"
Save Me Season 2,"Thriller, Mystery, Psychological","Prime Video, Roku"
You Are My Spring,"Thriller, Mystery, Comedy, Romance","Netflix, TVING"
Twenty Again,"Comedy, Romance, Life, Drama","Apple TV, Netflix, Tubi"
Blueming,"Romance, Youth, Drama",iQIYI
A-Teen,"Comedy, Romance, Life, Youth","Netflix, WeTV, PlayList Global, Viki, Wavve, Kocowa"
Anna: Extended Version,"Thriller, Life, Drama",Prime Video
The Killing Vote,"Thriller, Mystery, Horror","Prime Video, Wavve"
Marriage Contract,"Romance, Drama, Melodrama","Netflix, Viki, Kocowa"
Miss Hammurabi,"Law, Romance, Life, Drama","Netflix, WeTV, Viki, VIU Indonesia, Tubi"
She Was Pretty,"Comedy, Romance, Drama","Apple TV, Netflix, WeTV, Viki, iQIYI, HBO Max, Kocowa"
Life,"Thriller, Psychological, Drama, Medical","Netflix, Viki"
Children of a Lesser God,"Thriller, Mystery, Supernatural","Apple TV, Roku, Tubi"
Miracle That We Met,"Comedy, Romance, Fantasy, Melodrama","Viki, Kocowa"
Kiss Sixth Sense,"Comedy, Romance, Fantasy, Supernatural","Disney+ Hotstar, Disney+, Hulu"
Brain Works,"Mystery, Comedy","Viki, Wavve, Netflix, Kocowa"
Chief of Staff,"Law, Drama, Political",Netflix
The Secret Life of My Secretary,"Business, Comedy, Romance, Drama","Netflix, WeTV, Viki, SBS World, VIU Indonesia, Kocowa"
Bossam: Steal the Fate,"Historical, Romance, Life, Drama",Viki
Shadow Detective Season 2,"Mystery, Drama","Disney+, Hulu"
It's Okay to Be Sensitive,"Comedy, Romance, Youth, Drama",tvN D STORY
Tomorrow with You,"Romance, Drama, Melodrama, Supernatural","Apple TV, Netflix, WeTV, Viki, iQIYI, VIU Indonesia, Tubi"
Island Part 2,"Action, Thriller, Horror, Fantasy",Prime Video
Ho Goo's Love,"Comedy, Romance, Youth, Melodrama","Prime Video, AsianCrush, Tubi"
Wok of Love,"Food, Comedy, Romance, Drama","Apple TV, Netflix, Viki, VIU Indonesia, SBS World, Kocowa"
Something in the Rain,"Business, Romance, Life, Melodrama","Netflix, Viki, Tubi, Kocowa"
Unlock My Boss,"Thriller, Mystery, Comedy, Fantasy","Viki, Prime Video, Netflix"
The Golden Spoon,"Psychological, Drama, Fantasy, Supernatural","Disney+ Hotstar, Disney+, Hulu"
Memories of the Alhambra,"Action, Thriller, Romance, Sci-Fi",Netflix
Dear.M,"Romance, Life, Youth, Drama","WeTV, Viki, iQIYI, VIU Indonesia, Wavve"
Moment at Eighteen,"Comedy, Romance, Life, Drama","Netflix, WeTV, Viki, VIU Indonesia, Kocowa"
Dinner Mate,"Comedy, Romance, Life, Drama","iQIYI, Prime Video"
Argon,"Mystery, Drama, Political","Netflix, Tubi, Roku"
"Poong, the Joseon Psychiatrist","Historical, Mystery, Romance, Medical","Apple TV, Viki, WeTV, Netflix"
Sweet Home Season 2,"Action, Horror, Drama, Sci-Fi",Netflix
Shadow Detective,"Mystery, Crime, Drama","Disney+ Hotstar, Disney+, Hulu"
She Would Never Know,"Business, Comedy, Romance, Drama","Netflix, iQIYI, Prime Video"
Dokgo Rewind,"Action, Crime, Youth",Viki
"Poong, the Joseon Psychiatrist Season 2","Historical, Mystery, Romance, Medical","Viki, VIU Indonesia"
Shadow Beauty,"Thriller, Psychological, Romance, Youth","WeTV, Viki, Kakao TV"
Heart Surgeons,"Action, Life, Drama, Medical","Viki, SBS World"
Doctor Lawyer,"Thriller, Law, Drama, Medical","Disney+ Hotstar, Disney+, Hulu"
The Universe’s Star,"Music, Romance, Drama, Supernatural",
Joseon Attorney: A Morality,"Historical, Law, Romance, Drama","Viki, Kocowa"
Imitation,"Music, Comedy, Romance, Drama","Netflix, Viki, iQIYI, Prime Video"
The Last Empress,"Action, Thriller, Mystery, Romance","Netflix, Viki, iQIYI, SBS World, Kocowa"
V.I.P,"Mystery, Business, Romance, Melodrama","Netflix, Viki, Kocowa"
Undercover,"Action, Thriller, Mystery, Crime",
Never Give Up,"Comedy, Life, Drama",Netflix
Love Playlist,"Romance, Life, Youth, Drama","WeTV, PlayList Global"
Spring Turns to Spring,"Business, Comedy, Drama, Fantasy","Apple TV, Viki, Kocowa"
"Please Come Back, Mister","Comedy, Romance, Drama, Supernatural","Apple TV, Viki, SBS World, Kocowa"
"Hello, Me!","Comedy, Romance, Life, Fantasy",Netflix
Twenty-Twenty,"Romance, Youth, Drama","WeTV, PlayList Global, Viki"
The Emperor: Owner of the Mask,"Historical, Romance, Drama, Political","Netflix, Kocowa"
Here's My Plan,"Romance, Drama","Viki, Wavve, Kocowa"
Queen of Mystery Season 2,"Action, Mystery, Comedy, Drama","Apple TV, Viki, Kocowa"
When the Devil Calls Your Name,"Music, Comedy, Drama, Fantasy",iQIYI
Secret Mother,"Thriller, Mystery, Psychological, Drama","Viki, SBS World, Kocowa"
A-Teen Season 2,"Comedy, Romance, Youth, Drama","WeTV, PlayList Global, Viki, Wavve"
Less Than Evil,"Thriller, Mystery, Psychological, Drama","Viki, Kocowa"
So I Married an Anti-Fan,"Music, Comedy, Romance","Viki, iQIYI, Hulu, Prime Video, Wavve"
The Boy Next Door,"Comedy, Romance, Youth",Dingo K-Drama
Take 1,"Music, Documentary",Netflix
Pied Piper,"Action, Thriller, Mystery, Drama",
The Great Shaman Ga Doo Shim,"Mystery, Romance, Youth, Supernatural","Viki, iQIYI, Hulu"
Last,"Action, Thriller, Crime",Viki
Priest,"Thriller, Horror, Romance, Drama","Apple TV, Tubi, Roku"
Real:Time:Love Season 2,"Comedy, Romance, Youth, Drama",WeTV
Mrs. Cop,"Action, Mystery","Apple TV, Viki, SBS World, SBS VOD, Kocowa"
The Lies Within,"Thriller, Mystery, Drama",Netflix
Falsify,"Thriller, Mystery, Law","Netflix, Viki, SBS World, Kocowa"
Once Upon a Small Town,"Comedy, Romance, Life",Netflix
Just Dance,"Romance, Life, Drama, Sports","Viki, KBS World, Kocowa"
The Wind Blows,"Romance, Drama, Melodrama",Netflix
It's Okay to Be Sensitive Season 2,"Comedy, Romance, Youth, Drama",tvN D STORY
School 2021,"Romance, Youth, Drama, Melodrama",Viki
Police University,"Mystery, Comedy, Romance, Drama","Netflix, Viki, Prime Video, VIU Indonesia"
Sing My Crush,"Music, Comedy, Romance, Youth",iQIYI
My Beautiful Bride,"Action, Mystery, Romance, Crime","Prime Video, Tubi"
Lovestruck in the City,"Romance, Life, Youth, Drama","Netflix, Kakao TV"
Dr. Brain,"Thriller, Mystery, Sci-Fi, Medical",Apple TV
Decoy: Part 1,"Thriller, Mystery, Crime, Drama","Viki, Prime Video"
Let's Eat Season 2,"Food, Comedy, Romance, Drama",Tubi
It's Beautiful Now,"Romance, Drama, Family, Melodrama","KBS World, Wavve, Viki, Kocowa"
Fall for You,"Romance, Youth, Fantasy","Apple TV, Netflix, Wavve, TVING"
Marry Me Now?,"Romance, Medical, Melodrama","Apple TV, Viki, KBS World, Kocowa"
Marry Me Now,"Romance, Medical, Melodrama","Apple TV, Viki, KBS World, Kocowa"
Our Dating Sim,"Business, Romance",Viki
Tracer,"Action, Thriller, Mystery, Drama","Wavve, Viki, Kocowa"
W.H.Y.,"Comedy, Romance, Life, Youth",PlayList Global
One Fine Week,"Comedy, Romance","Viki, KOK TV, Kocowa"
Love Affairs in the Afternoon,"Romance, Life, Drama, Melodrama",Viki
Goodbye to Goodbye,"Romance, Life, Drama, Melodrama",Kocowa
Doctors,"Comedy, Romance, Drama, Medical","Apple TV, Netflix, Viki, Prime Video, SBS World, VIU Indonesia, SBS VOD, Kocowa"
Cheo Yong Season 2,"Mystery, Drama, Supernatural",
Kiss Scene in Yeonnamdong,"Mystery, Comedy, Romance, Melodrama",
All about My Mom,"Romance, Drama, Family, Melodrama","Viki, Prime Video, KBS World, Wavve, Kocowa"
The Gentlemen of Wolgyesu Tailor Shop,"Comedy, Romance, Life, Drama","KBS World, Kocowa"
Good Job,"Mystery, Comedy, Romance, Fantasy","Viki, iQIYI"
My Man Is Cupid,"Mystery, Comedy, Romance, Fantasy",Prime Video
Devilish Joy,"Comedy, Romance, Drama","Apple TV, Viki, Prime Video"
Where Your Eyes Linger,"Romance, Youth, Drama, Melodrama","Apple TV, WeTV, Viki"
Queen: Love and War,"Historical, Romance, Fantasy, Political",iQIYI
My Golden Life,"Business, Comedy, Romance, Drama","Apple TV, Netflix, Viki, KBS World, Kocowa"
Just One Bite Season 2,"Comedy, Romance, Drama, Sitcom","WeTV, PlayList Global"
Let Me Be Your Knight,"Music, Comedy, Romance, Drama","Viki, iQIYI"
Battle for Happiness,"Thriller, Mystery, Drama","Prime Video, Viki, Lemino"
River Where the Moon Rises,"Action, Historical, Romance, Political","Apple TV, Viki"
Queen of the Ring,"Comedy, Romance, Drama, Fantasy",
The Girl Who Sees Scents,"Mystery, Romance, Supernatural","Netflix, Viki, SBS World, VIU Indonesia, Kocowa"
Joseon Exorcist,"Action, Historical, Drama, Fantasy",WeTV
Hope or Dope 2,"Youth, Drama",Viki
Big Issue,"Thriller, Mystery, Romance, Drama","Apple TV, Viki, SBS World, Kocowa"
Where Stars Land,"Comedy, Romance, Fantasy, Melodrama","Apple TV, Netflix, Viki, SBS World, VIU Indonesia, Kocowa"
Heart to Heart,"Psychological, Comedy, Romance",
Mental Coach Jegal,"Comedy, Drama, Sports","Apple TV, Viki"
"My Lawyer, Mr. Jo","Mystery, Comedy, Law","Viki, Kocowa"
Wednesday 3:30 PM,"Comedy, Romance, Life, Youth",Viki
Cross,"Thriller, Mystery, Medical","Tubi, Roku"
The Matchmakers,"Historical, Comedy, Romance","Viki, Wavve, VIU Indonesia, Netflix"
Scripting Your Destiny,"Comedy, Romance, Fantasy","Apple TV, Viki, iQIYI, Tubi, Roku"
The Cursed,"Thriller, Mystery, Horror, Supernatural","Apple TV, Netflix, WeTV, iQIYI, Tubi, Prime Video, Roku"
Be My Boyfriend,"Comedy, Romance, Youth, Drama","Apple TV, WeTV, Viki, KOK TV"
Nice Witch,"Comedy, Romance, Drama, Melodrama","SBS World, Kocowa"
Miss Independent Ji Eun Season 2,"Romance, Life, Youth",Dingo K-Drama
Moebius: The Veil,"Action, Thriller, Mystery, Crime","Prime Video, Viki, Kocowa"
Hospital Ship,"Romance, Drama, Medical","Netflix, Kocowa"
Today's Webtoon,"Business, Comedy, Life, Drama","Viki, VIU Indonesia, Hulu"
Miss Independent Ji Eun,"Comedy, Romance, Life, Drama",Dingo K-Drama
Kiss Goblin,"Comedy, Romance, Fantasy, Supernatural","Apple TV, Viki, KOK TV"
One More Happy Ending,"Comedy, Romance, Youth, Drama","Netflix, Viki, Kocowa"
I Started Following Romance,"Comedy, Romance, Youth","Viki, Kocowa"
A Poem a Day,"Romance, Life, Drama, Medical","VIU Indonesia, Tubi"
The One and Only,"Mystery, Romance, Drama, Melodrama","Netflix, Viki, TVING, Prime Video"
Money Game,"Mystery, Business, Drama, Political","Apple TV, WeTV, VIU Indonesia"
Tracer Season 2,"Action, Thriller, Mystery, Drama",Viki
Secret Royal Inspector & Joy,"Historical, Mystery, Comedy, Romance","Netflix, WeTV, Viki, iQIYI, TVING, Hulu"
Numbers,"Action, Thriller, Mystery, Drama","Apple TV, Viki, Kocowa"
Eve,"Romance, Drama, Melodrama","Apple TV, Viki, iQIYI, Netflix"
Should We Kiss First?,"Comedy, Romance, Life, Melodrama","SBS World, Kocowa"
Different Dreams,"Action, Historical, Romance, Medical","Viki, Kocowa"
Matrimonial Chaos,"Comedy, Romance, Drama","Viki, Netflix, Kocowa"
Trap,"Thriller, Mystery, Psychological, Drama",Apple TV
Two Cops,"Mystery, Comedy, Romance, Supernatural","Apple TV, Netflix, Viki, Kocowa"
Good Casting,"Action, Mystery, Comedy, Crime","Viki, SBS World, Kocowa"
Abyss,"Mystery, Comedy, Romance, Fantasy",Netflix
When My Love Blooms,"Romance, Life, Drama, Melodrama","Netflix, WeTV, Viki, iQIYI, Tubi"
Delightfully Deceitful,"Comedy, Crime, Drama","Apple TV, TVING, VIU Indonesia"
Hope or Dope,"Crime, Youth, Drama",Viki
My Lovely Boxer,"Romance, Youth, Drama, Sports","Viki, Wavve, Prime Video, Kocowa"
Naked Fireman,"Action, Thriller, Mystery, Drama","Viki, Kocowa"
Love Tractor,"Comedy, Romance, Life",iQIYI
Delivery Man,"Mystery, Comedy, Romance, Supernatural","Viki, VIU Indonesia"
We Are Peaceful Brothers,"Comedy, Romance, Life, Youth",KOK TV
Forest,"Business, Psychological, Romance, Medical","Apple TV, Viki"
Decoy: Part 2,"Thriller, Mystery, Crime, Drama",Viki
"Saimdang, Light’s Diary","Historical, Mystery, Romance, Melodrama","Netflix, Viki, Prime Video, AsianCrush, Tubi"
Soul Mechanic,"Comedy, Romance, Drama, Medical","Viki, Kocowa"
Strongest Deliveryman,"Business, Comedy, Romance, Life","Netflix, Tubi, Kocowa"
Sweet Revenge,"Comedy, Romance, Youth, Fantasy","Apple TV, Viki, AsianCrush, Tubi"
The Mermaid Prince: The Beginning,"Mystery, Romance, Youth, Drama",
Anna,"Thriller, Drama",Prime Video
The Game: Towards Zero,"Thriller, Mystery, Psychological, Supernatural","Viki, Kocowa"
Your House Helper,"Comedy, Romance, Life","Viki, Kocowa"
"Cheat On Me, if You Can","Thriller, Mystery, Comedy, Romance","Apple TV, Viki, VIU Indonesia, Kocowa"
20th Century Boy and Girl,"Comedy, Romance, Life",Kocowa
Switch: Change the World,"Thriller, Mystery, Comedy, Law","Viki, SBS World, Kocowa"
My Wife’s Having an Affair This Week,"Comedy, Romance, Life, Drama",Disney+ Hotstar
Chip In,"Thriller, Mystery, Comedy","Viki, VIU Indonesia, Kocowa"
Chip-In,"Thriller, Mystery, Comedy","Viki, VIU Indonesia, Kocowa"
Beautiful Gong Shim,"Comedy, Romance, Drama","Apple TV, Netflix, Viki, SBS World, Kocowa"
Criminal Minds,"Action, Mystery, Psychological, Drama","WeTV, iQIYI, VIU Indonesia"
Just One Bite,"Comedy, Romance, Life, Drama","WeTV, PlayList Global"
Yong Pal,"Action, Romance, Drama, Medical","Netflix, Viki, SBS World, SBS VOD, Kocowa"
Grand Prince,"Historical, Romance, Drama, Political",Viki
Ga Doo Ri’s Sushi Restaurant,"Food, Business, Comedy, Romance","Viki, KOK TV, Wavve, Kocowa"
Flower Crew: Joseon Marriage Agency,"Historical, Comedy, Romance, Drama","Disney+ Hotstar, Netflix, WeTV, Viki, iQIYI, Prime Video, Kocowa"
Roommates of Poongduck 304,"Business, Romance","Viki, Wavve"
The Flower in Prison,"Historical, Law, Drama, Melodrama","Viki, Kocowa"
Dating Class,"Romance, Youth, Drama",tvN D STORY
Kkondae Intern,"Business, Comedy, Life, Drama","Netflix, WeTV, Viki, VIU Indonesia, Kocowa"
The Scholar Who Walks the Night,"Historical, Mystery, Romance, Fantasy","Netflix, Viki, Kocowa"
Timing,"Romance, Youth, Drama",Viki
Cherry Blossoms after Winter,"Romance, Youth, Drama","Apple TV, WeTV, Viki"
My Love Eun Dong,"Romance, Life, Drama","Netflix, Viki"
Man to Man,"Action, Thriller, Comedy, Romance","Netflix, Viki"
The Temperature of Language: Our Nineteen,"Romance, Youth, Drama","Apple TV, Viki, tvN D STORY"
Homemade Love Story,"Comedy, Romance, Drama","Viki, KBS World, Netflix, Kocowa"
The Great Show,"Comedy, Drama, Political",Roku
The Deal,"Thriller, Mystery, Crime, Drama","Wavve, Viki"
Super Family,"Comedy, Romance, Drama, Sitcom",SBS World
Sisyphus: The Myth,"Action, Thriller, Mystery, Sci-Fi",Netflix
Return,"Thriller, Mystery, Law","SBS World, Kocowa"
Cinderella and the Four Knights,"Comedy, Romance, Drama","Apple TV, Netflix, Viki, Tubi, Kocowa"
Love after School,"Romance, Youth, Drama",STUDIO DIA
Longing Heart,"Mystery, Comedy, Romance, Fantasy","Viki, Tubi"
How to Buy a Friend,"Mystery, Comedy, Romance, Drama","Viki, Kocowa"
King Maker: The Change of Destiny,"Historical, Romance, Drama, Supernatural","Viki, K-DRAMA"
How to Hate You,"Comedy, Romance, Youth, Drama",Lululala Story Lab
The Village: Achiara's Secret,"Thriller, Mystery, Horror, Supernatural","Viki, SBS World, Kocowa"
My Dangerous Wife,"Thriller, Psychological, Drama","Apple TV, Viki, iQIYI"
Sweet Revenge Season 2,"Thriller, Mystery, Romance, Supernatural","Viki, AsianCrush, Tubi"
Longing for You,"Action, Thriller, Mystery, Drama","Viki, TVING, Netflix, Lemino"
Late Night Restaurant,"Food, Life, Drama",Prime Video
Adult Trainee,"Comedy, Romance, Youth","Apple TV, TVING"
The Royal Gambler,"Action, Historical, Comedy, Drama","Netflix, Viki, SBS World, Kocowa"
Girlfriend Project Day 1,"Romance, Youth",
Room No. 9,"Mystery, Drama, Fantasy","Roku, Tubi"
Love Class Season 2,"Romance, Drama","Viki, WeTV"
"Miss Ma, Nemesis","Thriller, Mystery, Drama","Apple TV, Viki, Kocowa"
My ID Is Gangnam Beauty,"Psychological, Romance, Youth, Drama","Apple TV, Disney+ Hotstar, Netflix, WeTV, Viki, iQIYI, iflix, VIU Indonesia, Prime Video, Tubi, Kocowa"
"Alice, the Final Weapon","Action, Thriller, Romance, Youth",Viki
Introverted Boss,"Business, Comedy, Romance, Drama","Netflix, WeTV, Tubi"
Justice,"Thriller, Mystery, Law, Drama","Apple TV, Viki, KBS World, Kocowa"
IN-SEOUL Season 2,"Romance, Youth, Drama",PlayList Global
I Have a Lover,"Romance, Drama, Melodrama","Viki, SBS World, iWant TFC, Kocowa"
Cat's Bar,"Comedy, Romance, Drama, Supernatural",
So Not Worth it,"Comedy, Romance, Youth, Sitcom",Netflix
Stealer: The Treasure Keeper,"Action, Adventure, Mystery, Comedy","Apple TV, TVING, Tubi, Roku"
Can You Deliver Time? 2002,"Sci-Fi, Fantasy",배티비 (BAETV)
Doona!,"Romance, Youth, Drama",Netflix
A Good Day to Be a Dog,"Comedy, Romance, Fantasy, Supernatural","Viki, VIU Indonesia, Netflix"
Payback: Money and Power,"Thriller, Mystery, Business, Drama","Prime Video, Wavve"
Judge vs. Judge,"Comedy, Law, Romance, Drama","Netflix, Viki, SBS World, Kocowa"
The King in Love,"Historical, Romance, Drama, Political","Apple TV, Viki, Kocowa"
The World of My 17,"Comedy, Life, Youth, Drama","Apple TV, WeTV, Viki, tvN D STORY"
The Ghost Detective,"Thriller, Mystery, Horror, Supernatural","Viki, Kocowa"
You Raise Me Up,"Psychological, Comedy, Romance, Drama","Viki, Wavve"
Moonshine,"Action, Historical, Comedy, Romance","Apple TV, Viki, Prime Video, Kocowa"
Trolley,"Mystery, Romance, Melodrama, Political","Netflix, Wavve"
Ending Again,"Romance, Youth, Drama","WeTV, PlayList Global, Viki, Wavve"
One Fine Week Season 2,Romance,"WeTV, Viki, KOK TV"
My Only Love Song,"Historical, Comedy, Romance, Fantasy",Netflix
You Make Me Dance,"Romance, Life, Drama","WeTV, Viki, iflix, VIU Indonesia"
"Beautiful Love, Wonderful Life","Comedy, Romance, Drama, Melodrama","Viki, KBS World, Kocowa"
On the Way to the Airport,"Romance, Drama, Melodrama",
When You Love Yourself,"Comedy, Romance, Life, Drama",tvN D STORY
User Not Found,"Romance, Youth, Drama","Viki, KOK TV"
Lucky Romance,"Business, Comedy, Romance, Drama","Apple TV, Netflix, Viki"
Moon in the Day,"Thriller, Historical, Romance, Fantasy","Viki, TVING"
Crash! Insignificant Roommates,"Comedy, Youth",Lululala Story Lab
Let's Eat Season 3,"Food, Comedy, Romance, Life",
Seventeen,"Comedy, Romance, Youth","WeTV, PlayList Global"
