title,genres,where_to_watch
Marriage Contract,"Romance, Drama, Melodrama",Netflix
Miss Hammurabi,"Law, Romance, Life, Drama",Netflix
She Was Pretty,"Comedy, Romance, Drama",Apple TV
Life,"Thriller, Psychological, Drama, Medical",Netflix
Children of a Lesser God,"Thriller, Mystery, Supernatural",Apple TV
Miracle That We Met,"Comedy, Romance, Fantasy, Melodrama",Viki
Kiss Sixth Sense,"Comedy, Romance, Fantasy, Supernatural",Disney+ Hotstar
Brain Works,"Mystery, Comedy",Viki
Chief of Staff,"Law, Drama, Political",Netflix
The Secret Life of My Secretary,"Business, Comedy, Romance, Drama",Netflix
Bossam: Steal the Fate,"Historical, Romance, Life, Drama",Viki
Shadow Detective Season 2,"Mystery, Drama",Disney+
It's Okay to Be Sensitive,"Comedy, Romance, Youth, Drama",tvN D STORY
Tomorrow with You,"Romance, Drama, Melodrama, Supernatural",Apple TV
Island Part 2,"Action, Thriller, Horror, Fantasy",Prime Video
Ho Goo's Love,"Comedy, Romance, Youth, Melodrama",Prime Video
Wok of Love,"Food, Comedy, Romance, Drama",Apple TV
Something in the Rain,"Business, Romance, Life, Melodrama",Netflix
Unlock My Boss,"Thriller, Mystery, Comedy, Fantasy",Viki
The Golden Spoon,"Psychological, Drama, Fantasy, Supernatural",Disney+ Hotstar
Memories of the Alhambra,"Action, Thriller, Romance, Sci-Fi",Netflix
Dear.M,"Romance, Life, Youth, Drama",WeTV
Moment at Eighteen,"Comedy, Romance, Life, Drama",Netflix
Dinner Mate,"Comedy, Romance, Life, Drama",iQIYI
Argon,"Mystery, Drama, Political",Netflix
"Poong, the Joseon Psychiatrist","Historical, Mystery, Romance, Medical",Apple TV
Sweet Home Season 2,"Action, Horror, Drama, Sci-Fi",Netflix
Shadow Detective,"Mystery, Crime, Drama",Disney+ Hotstar
She Would Never Know,"Business, Comedy, Romance, Drama",Netflix
Dokgo Rewind,"Action, Crime, Youth",Viki
"Poong, the Joseon Psychiatrist Season 2","Historical, Mystery, Romance, Medical",Viki
Shadow Beauty,"Thriller, Psychological, Romance, Youth",WeTV
Heart Surgeons,"Action, Life, Drama, Medical",Viki
Doctor Lawyer,"Thriller, Law, Drama, Medical",Disney+ Hotstar
The Universe’s Star,"Music, Romance, Drama, Supernatural",
Joseon Attorney: A Morality,"Historical, Law, Romance, Drama",Viki
Imitation,"Music, Comedy, Romance, Drama",Netflix
The Last Empress,"Action, Thriller, Mystery, Romance",Netflix
V.I.P,"Mystery, Business, Romance, Melodrama",Netflix
Undercover,"Action, Thriller, Mystery, Crime",
Never Give Up,"Comedy, Life, Drama",Netflix
Love Playlist,"Romance, Life, Youth, Drama",WeTV
Spring Turns to Spring,"Business, Comedy, Drama, Fantasy",Apple TV
"Please Come Back, Mister","Comedy, Romance, Drama, Supernatural",Apple TV
"Hello, Me!","Comedy, Romance, Life, Fantasy",Netflix
Twenty-Twenty,"Romance, Youth, Drama",WeTV
The Emperor: Owner of the Mask,"Historical, Romance, Drama, Political",Netflix
Here's My Plan,"Romance, Drama",Viki
Queen of Mystery Season 2,"Action, Mystery, Comedy, Drama",Apple TV
When the Devil Calls Your Name,"Music, Comedy, Drama, Fantasy",iQIYI
Secret Mother,"Thriller, Mystery, Psychological, Drama",Viki
A-Teen Season 2,"Comedy, Romance, Youth, Drama",WeTV
Less Than Evil,"Thriller, Mystery, Psychological, Drama",Viki
So I Married an Anti-Fan,"Music, Comedy, Romance",Viki
The Boy Next Door,"Comedy, Romance, Youth",Dingo K-Drama
Take 1,"Music, Documentary",Netflix
Pied Piper,"Action, Thriller, Mystery, Drama",
The Great Shaman Ga Doo Shim,"Mystery, Romance, Youth, Supernatural",Viki
Last,"Action, Thriller, Crime",Viki
Priest,"Thriller, Horror, Romance, Drama",Apple TV
Real:Time:Love Season 2,"Comedy, Romance, Youth, Drama",WeTV
Mrs. Cop,"Action, Mystery",Apple TV
The Lies Within,"Thriller, Mystery, Drama",Netflix
Falsify,"Thriller, Mystery, Law",Netflix
Once Upon a Small Town,"Comedy, Romance, Life",Netflix
Just Dance,"Romance, Life, Drama, Sports",Viki
The Wind Blows,"Romance, Drama, Melodrama",Netflix
It's Okay to Be Sensitive Season 2,"Comedy, Romance, Youth, Drama",tvN D STORY
School 2021,"Romance, Youth, Drama, Melodrama",Viki
Police University,"Mystery, Comedy, Romance, Drama",Netflix
Sing My Crush,"Music, Comedy, Romance, Youth",iQIYI
My Beautiful Bride,"Action, Mystery, Romance, Crime",Prime Video
Lovestruck in the City,"Romance, Life, Youth, Drama",Netflix
Dr. Brain,"Thriller, Mystery, Sci-Fi, Medical",Apple TV
Decoy: Part 1,"Thriller, Mystery, Crime, Drama",Viki
Let's Eat Season 2,"Food, Comedy, Romance, Drama",Tubi
It's Beautiful Now,"Romance, Drama, Family, Melodrama",KBS World
Fall for You,"Romance, Youth, Fantasy",Apple TV
Marry Me Now?,"Romance, Medical, Melodrama",Apple TV
Our Dating Sim,"Business, Romance",Viki
Tracer,"Action, Thriller, Mystery, Drama",Wavve
W.H.Y.,"Comedy, Romance, Life, Youth",PlayList Global
One Fine Week,"Comedy, Romance",Viki
Love Affairs in the Afternoon,"Romance, Life, Drama, Melodrama",Viki
Goodbye to Goodbye,"Romance, Life, Drama, Melodrama",Kocowa
Doctors,"Comedy, Romance, Drama, Medical",Apple TV
Cheo Yong Season 2,"Mystery, Drama, Supernatural",
Kiss Scene in Yeonnamdong,"Mystery, Comedy, Romance, Melodrama",
All about My Mom,"Romance, Drama, Family, Melodrama",Viki
The Gentlemen of Wolgyesu Tailor Shop,"Comedy, Romance, Life, Drama",KBS World
Good Job,"Mystery, Comedy, Romance, Fantasy",Viki
My Man Is Cupid,"Mystery, Comedy, Romance, Fantasy",Prime Video
Devilish Joy,"Comedy, Romance, Drama",Apple TV
Where Your Eyes Linger,"Romance, Youth, Drama, Melodrama",Apple TV
Queen: Love and War,"Historical, Romance, Fantasy, Political",iQIYI
My Golden Life,"Business, Comedy, Romance, Drama",Apple TV
Just One Bite Season 2,"Comedy, Romance, Drama, Sitcom",WeTV
Let Me Be Your Knight,"Music, Comedy, Romance, Drama",Viki
Battle for Happiness,"Thriller, Mystery, Drama",Prime Video
River Where the Moon Rises,"Action, Historical, Romance, Political",Apple TV
Queen of the Ring,"Comedy, Romance, Drama, Fantasy",
The Girl Who Sees Scents,"Mystery, Romance, Supernatural",Netflix
Joseon Exorcist,"Action, Historical, Drama, Fantasy",WeTV
Hope or Dope 2,"Youth, Drama",Viki
Big Issue,"Thriller, Mystery, Romance, Drama",Apple TV
Where Stars Land,"Comedy, Romance, Fantasy, Melodrama",Apple TV
Heart to Heart,"Psychological, Comedy, Romance",
Mental Coach Jegal,"Comedy, Drama, Sports",Apple TV
"My Lawyer, Mr. Jo","Mystery, Comedy, Law",Viki
Wednesday 3:30 PM,"Comedy, Romance, Life, Youth",Viki
Cross,"Thriller, Mystery, Medical",Tubi
The Matchmakers,"Historical, Comedy, Romance",Viki
Scripting Your Destiny,"Comedy, Romance, Fantasy",Apple TV
The Cursed,"Thriller, Mystery, Horror, Supernatural",Apple TV
Be My Boyfriend,"Comedy, Romance, Youth, Drama",Apple TV
Nice Witch,"Comedy, Romance, Drama, Melodrama",SBS World
Miss Independent Ji Eun Season 2,"Romance, Life, Youth",Dingo K-Drama
Moebius: The Veil,"Action, Thriller, Mystery, Crime",Prime Video
Hospital Ship,"Romance, Drama, Medical",Netflix
Today's Webtoon,"Business, Comedy, Life, Drama",Viki
Miss Independent Ji Eun,"Comedy, Romance, Life, Drama",Dingo K-Drama
Kiss Goblin,"Comedy, Romance, Fantasy, Supernatural",Apple TV
One More Happy Ending,"Comedy, Romance, Youth, Drama",Netflix
I Started Following Romance,"Comedy, Romance, Youth",Viki
A Poem a Day,"Romance, Life, Drama, Medical",VIU Indonesia
The One and Only,"Mystery, Romance, Drama, Melodrama",Netflix
Money Game,"Mystery, Business, Drama, Political",Apple TV
Tracer Season 2,"Action, Thriller, Mystery, Drama",Viki
Secret Royal Inspector & Joy,"Historical, Mystery, Comedy, Romance",Netflix
Numbers,"Action, Thriller, Mystery, Drama",Apple TV
Eve,"Romance, Drama, Melodrama",Apple TV
Should We Kiss First?,"Comedy, Romance, Life, Melodrama",SBS World
Different Dreams,"Action, Historical, Romance, Medical",Viki
Matrimonial Chaos,"Comedy, Romance, Drama",Viki
Trap,"Thriller, Mystery, Psychological, Drama",Apple TV
Two Cops,"Mystery, Comedy, Romance, Supernatural",Apple TV
Good Casting,"Action, Mystery, Comedy, Crime",Viki
Abyss,"Mystery, Comedy, Romance, Fantasy",Netflix
When My Love Blooms,"Romance, Life, Drama, Melodrama",Netflix
Delightfully Deceitful,"Comedy, Crime, Drama",Apple TV
Hope or Dope,"Crime, Youth, Drama",Viki
My Lovely Boxer,"Romance, Youth, Drama, Sports",Viki
Naked Fireman,"Action, Thriller, Mystery, Drama",Viki
Love Tractor,"Comedy, Romance, Life",iQIYI
Delivery Man,"Mystery, Comedy, Romance, Supernatural",Viki
We Are Peaceful Brothers,"Comedy, Romance, Life, Youth",KOK TV
Forest,"Business, Psychological, Romance, Medical",Apple TV
Decoy: Part 2,"Thriller, Mystery, Crime, Drama",Viki
"Saimdang, Light’s Diary","Historical, Mystery, Romance, Melodrama",Netflix
Soul Mechanic,"Comedy, Romance, Drama, Medical",Viki
Strongest Deliveryman,"Business, Comedy, Romance, Life",Netflix
Sweet Revenge,"Comedy, Romance, Youth, Fantasy",Apple TV
The Mermaid Prince: The Beginning,"Mystery, Romance, Youth, Drama",
Anna,"Thriller, Drama",Prime Video
The Game: Towards Zero,"Thriller, Mystery, Psychological, Supernatural",Viki
Your House Helper,"Comedy, Romance, Life",Viki
"Cheat On Me, if You Can","Thriller, Mystery, Comedy, Romance",Apple TV
20th Century Boy and Girl,"Comedy, Romance, Life",Kocowa
Switch: Change the World,"Thriller, Mystery, Comedy, Law",Viki
My Wife’s Having an Affair This Week,"Comedy, Romance, Life, Drama",Disney+ Hotstar
Chip In,"Thriller, Mystery, Comedy",Viki
Beautiful Gong Shim,"Comedy, Romance, Drama",Apple TV
Criminal Minds,"Action, Mystery, Psychological, Drama",WeTV
Just One Bite,"Comedy, Romance, Life, Drama",WeTV
Yong Pal,"Action, Romance, Drama, Medical",Netflix
Grand Prince,"Historical, Romance, Drama, Political",Viki
Ga Doo Ri’s Sushi Restaurant,"Food, Business, Comedy, Romance",Viki
Flower Crew: Joseon Marriage Agency,"Historical, Comedy, Romance, Drama",Disney+ Hotstar
Roommates of Poongduck 304,"Business, Romance",Viki
The Flower in Prison,"Historical, Law, Drama, Melodrama",Viki
Dating Class,"Romance, Youth, Drama",tvN D STORY
Kkondae Intern,"Business, Comedy, Life, Drama",Netflix
The Scholar Who Walks the Night,"Historical, Mystery, Romance, Fantasy",Netflix
Timing,"Romance, Youth, Drama",Viki
Cherry Blossoms after Winter,"Romance, Youth, Drama",Apple TV
My Love Eun Dong,"Romance, Life, Drama",Netflix
Man to Man,"Action, Thriller, Comedy, Romance",Netflix
The Temperature of Language: Our Nineteen,"Romance, Youth, Drama",Apple TV
Homemade Love Story,"Comedy, Romance, Drama",Viki
The Great Show,"Comedy, Drama, Political",Roku
The Deal,"Thriller, Mystery, Crime, Drama",Wavve
Super Family,"Comedy, Romance, Drama, Sitcom",SBS World
Sisyphus: The Myth,"Action, Thriller, Mystery, Sci-Fi",Netflix
Return,"Thriller, Mystery, Law",SBS World
Cinderella and the Four Knights,"Comedy, Romance, Drama",Apple TV
Love after School,"Romance, Youth, Drama",STUDIO DIA
Longing Heart,"Mystery, Comedy, Romance, Fantasy",Viki
How to Buy a Friend,"Mystery, Comedy, Romance, Drama",Viki
King Maker: The Change of Destiny,"Historical, Romance, Drama, Supernatural",Viki
How to Hate You,"Comedy, Romance, Youth, Drama",Lululala Story Lab
The Village: Achiara's Secret,"Thriller, Mystery, Horror, Supernatural",Viki
My Dangerous Wife,"Thriller, Psychological, Drama",Apple TV
Sweet Revenge Season 2,"Thriller, Mystery, Romance, Supernatural",Viki
Longing for You,"Action, Thriller, Mystery, Drama",Viki
Late Night Restaurant,"Food, Life, Drama",Prime Video
Adult Trainee,"Comedy, Romance, Youth",Apple TV
The Royal Gambler,"Action, Historical, Comedy, Drama",Netflix
Girlfriend Project Day 1,"Romance, Youth",
Room No. 9,"Mystery, Drama, Fantasy",Roku
Love Class Season 2,"Romance, Drama",Viki
"Miss Ma, Nemesis","Thriller, Mystery, Drama",Apple TV
My ID Is Gangnam Beauty,"Psychological, Romance, Youth, Drama",Apple TV
"Alice, the Final Weapon","Action, Thriller, Romance, Youth",Viki
Introverted Boss,"Business, Comedy, Romance, Drama",Netflix
Justice,"Thriller, Mystery, Law, Drama",Apple TV
IN-SEOUL Season 2,"Romance, Youth, Drama",PlayList Global
I Have a Lover,"Romance, Drama, Melodrama",Viki
Cat's Bar,"Comedy, Romance, Drama, Supernatural",
So Not Worth it,"Comedy, Romance, Youth, Sitcom",Netflix
Stealer: The Treasure Keeper,"Action, Adventure, Mystery, Comedy",Apple TV
Can You Deliver Time? 2002,"Sci-Fi, Fantasy",배티비 (BAETV)
Doona!,"Romance, Youth, Drama",Netflix
A Good Day to Be a Dog,"Comedy, Romance, Fantasy, Supernatural",Viki
Payback: Money and Power,"Thriller, Mystery, Business, Drama",Prime Video
Judge vs. Judge,"Comedy, Law, Romance, Drama",Netflix
The King in Love,"Historical, Romance, Drama, Political",Apple TV
The World of My 17,"Comedy, Life, Youth, Drama",Apple TV
The Ghost Detective,"Thriller, Mystery, Horror, Supernatural",Viki
You Raise Me Up,"Psychological, Comedy, Romance, Drama",Viki
Moonshine,"Action, Historical, Comedy, Romance",Apple TV
Trolley,"Mystery, Romance, Melodrama, Political",Netflix
Ending Again,"Romance, Youth, Drama",WeTV
One Fine Week Season 2,Romance,WeTV
My Only Love Song,"Historical, Comedy, Romance, Fantasy",Netflix
You Make Me Dance,"Romance, Life, Drama",WeTV
"Beautiful Love, Wonderful Life","Comedy, Romance, Drama, Melodrama",Viki
On the Way to the Airport,"Romance, Drama, Melodrama",
When You Love Yourself,"Comedy, Romance, Life, Drama",tvN D STORY
User Not Found,"Romance, Youth, Drama",Viki
Lucky Romance,"Business, Comedy, Romance, Drama",Apple TV
Moon in the Day,"Thriller, Historical, Romance, Fantasy",Viki
Crash! Insignificant Roommates,"Comedy, Youth",Lululala Story Lab
Let's Eat Season 3,"Food, Comedy, Romance, Life",
Seventeen,"Comedy, Romance, Youth",WeTV
Perfume,"Comedy, Romance, Melodrama, Supernatural",Apple TV
Awl,"Life, Drama",
Jugglers,"Business, Comedy, Romance, Drama",Viki
Jang Young Shil,"Historical, Drama",KBS World
Sketch,"Action, Thriller, Mystery, Supernatural",Apple TV
Out of Breath,"Romance, Life, Drama",
Melancholia,"Romance, Drama, Melodrama",Netflix
A Love So Beautiful,"Comedy, Romance, Life, Youth",Netflix
Like,"Comedy, Romance, Youth",Dingo K-Drama
Dr. Park’s Clinic,"Comedy, Medical",
Short,"Comedy, Romance, Life, Sports",Viki
The Best Ending,"Comedy, Romance, Drama",WeTV
Best Mistake,"Comedy, Romance, Youth, Drama",WeTV
Band of Sisters,"Romance, Drama, Melodrama",Viki
Delayed Justice,"Mystery, Comedy, Law, Melodrama",Apple TV
Mother of Mine,"Business, Romance, Life, Melodrama",KBS World
My Sassy Girl,"Historical, Comedy, Romance",Apple TV
Thumping Spike,"Comedy, Romance, Youth, Sports",Viki
Flower Ever After,"Romance, Life, Youth",WeTV
Please Don't Date Him,"Comedy, Romance, Drama, Sci-Fi",Apple TV
Oh My Baby,"Comedy, Romance, Drama, Medical",Netflix
Mask Girl,"Thriller, Mystery, Comedy, Drama",Netflix
Lies Hidden in My Garden,"Thriller, Mystery, Psychological, Drama",Viki
Romanced,"Mystery, Romance",
The Goddess of Revenge,"Mystery, Drama",Viki
Curtain Call,"Romance, Life, Drama, Family",Apple TV
Dear My Name,"Comedy, Romance, Fantasy",WeTV
Love in Contract,"Business, Comedy, Romance",Viki
High-end Crush,"Comedy, Romance, Drama",Viki
When You Love Yourself Season 2,"Comedy, Romance, Life, Youth",tvN D STORY
Love with Flaws,"Comedy, Romance, Life, Drama",Apple TV
Times,"Thriller, Mystery, Fantasy, Political",WeTV
Between Friendship and Love Season 3,"Romance, Drama",
Casting a Spell to You,"Comedy, Romance, Drama",Viki
EXO Next Door,"Music, Comedy, Romance",LINE TV
Once Again,"Romance, Supernatural",Viki
Entertainer,"Music, Business, Comedy, Drama",Viki
Unintentional Love Story,"Comedy, Romance",iQIYI
Shine or Go Crazy,"Historical, Romance, Supernatural, Political",Viki
The World of My 17 Season 2,"Youth, Drama",WeTV
Connect,"Mystery, Horror, Crime, Sci-Fi",Apple TV
"Not Alright, But It's Alright","Life, Drama",PlayList Global
Dark Hole,"Action, Thriller, Horror, Sci-Fi",WeTV
Big Bet Season 2,"Action, Crime, Drama",Disney+
Single & Ready to Mingle,"Comedy, Romance, Sitcom",WeTV
Whisper,"Thriller, Law, Romance, Drama",Viki
Oasis,"Romance, Youth, Drama, Melodrama",Wavve
My First First Love,"Comedy, Romance, Life, Youth",Netflix
My First First Love Season 2,"Comedy, Romance, Life, Youth",Netflix
"Bravo, My Life","Comedy, Romance",KBS World
My Happy Ending,"Thriller, Mystery, Psychological, Drama",Apple TV
Green Mothers' Club,"Mystery, Drama",Netflix
Dear My Room,"Comedy, Romance, Life, Youth",K-DRAMA
Wanted,"Mystery, Drama, Melodrama",Viki
Hidden Identity,"Mystery, Drama",Tubi
Adamas,"Thriller, Mystery, Drama",Disney+ Hotstar
Stock Struck,"Business, Comedy, Romance, Life",TVING
Feel Good to Die,"Comedy, Romance, Drama, Fantasy",
Bad Guys: City of Evil,"Action, Mystery, Crime, Political",Netflix
Sunny Again Tomorrow,"Romance, Drama",KBS World
Time,"Mystery, Melodrama",Apple TV
All That We Loved,"Romance, Youth",Apple TV
Clean with Passion for Now,"Business, Comedy, Romance, Drama",Apple TV
Everything and Nothing,"Romance, Youth, Melodrama",Viki
Melting Me Softly,"Mystery, Comedy, Romance, Sci-Fi",Apple TV
Baek Hee Has Returned,"Comedy, Romance, Drama",Viki
Real:Time:Love Season 4,"Comedy, Romance, Drama, Sitcom",WeTV
Backstreet Rookie,"Action, Business, Comedy, Romance",Apple TV
Find Me if You Can,"Thriller, Mystery, Romance",
Legal High,"Mystery, Comedy, Law, Drama",Netflix
Still Loving You,"Romance, Drama, Melodrama",KBS World
Do Do Sol Sol La La Sol,"Music, Comedy, Romance, Melodrama",Netflix
Mr. Heart,"Romance, Youth, Sports",Apple TV
Mirror of the Witch,"Historical, Romance, Medical, Fantasy",Viki
High Class,"Thriller, Mystery, Drama",Apple TV
Pale Moon,"Thriller, Mystery, Romance, Drama",Apple TV
Monthly Magazine Home,"Business, Comedy, Romance, Drama",Viki
Best Mistake Season 2,"Comedy, Romance, Youth, Drama",WeTV
Mimicus,"Romance, Youth, Drama",Viki
Doctor Detective,"Thriller, Mystery, Drama, Medical",Apple TV
A Shoulder to Cry On,"Psychological, Romance, Youth, Drama",Wavve
Moorim School,"Action, Romance, Drama, Supernatural",Netflix
Hanging On,"Comedy, Romance, Sitcom",Lululala Story Lab
Top Star Yoo Baek,"Comedy, Romance, Drama",Apple TV
Fantastic,"Comedy, Romance, Drama, Medical",Disney+ Hotstar
Soundtrack #2,"Music, Romance, Drama",Disney+
Sisters-in-Law,"Romance, Drama, Melodrama",
Eccentric! Chef Moon,"Food, Comedy, Romance, Drama",Viki
IN-SEOUL,"Youth, Drama",PlayList Global
I Have Not Done My Best Yet,Comedy,TVING
Nightmare Teacher,"Mystery, Horror, Youth, Supernatural",Netflix
"Bad Thief, Good Thief","Thriller, Comedy, Law, Romance",Viki
Big Bet,"Action, Crime, Drama",Disney+
Love in Sadness,"Romance, Drama, Melodrama",Kocowa
Super Daddy Yeol,"Comedy, Romance, Drama, Medical",Tubi
Liver or Die,"Comedy, Romance, Drama",Netflix
Splendid Politics,"Historical, Drama, Political",Viki
Love & Wish,"Romance, Youth, Drama",WeTV
Show Window: The Queen's House,"Thriller, Mystery, Romance, Drama",Viki
Because It's the First Time,"Romance, Life, Youth",iQIYI
Tempted,"Romance, Youth, Drama, Melodrama",Apple TV
22 Flower Road,"Romance, Youth, Drama",
My Husband Oh Jak Doo,"Comedy, Romance, Drama, Melodrama",Netflix
Ex-Girlfriend Club,"Comedy, Romance, Drama",Tubi
"The King of Tears, Lee Bang Won","Thriller, Historical, Drama, Political",Viki
Crime Puzzle,"Thriller, Mystery, Psychological, Crime",Viki
Reunited Worlds,"Romance, Drama, Melodrama, Supernatural",Netflix
The Fabulous,"Business, Comedy, Romance, Life",Netflix
Second Husband,"Romance, Drama, Melodrama",Viki
"Meow, the Secret Boy","Comedy, Romance, Drama, Fantasy",Viki
Forecasting Love and Weather,"Romance, Drama, Melodrama",Netflix
Bitch X Rich,"Thriller, Mystery, Youth, Drama",iQIYI
My Fellow Citizens!,"Comedy, Romance, Crime, Political",Apple TV
Flat,"Romance, Life, Youth",
The Undateables,"Comedy, Romance, Life, Drama",Viki
To.Two,"Thriller, Psychological, Youth",TVING
Hellbound,"Mystery, Horror, Drama, Supernatural",Netflix
Top Management,"Life, Drama, Supernatural",
Monstrous,"Thriller, Mystery, Horror, Supernatural",Apple TV
Family: The Unbreakable Bond,"Action, Thriller, Comedy, Drama",Disney+
Thumping Spike 2,"Comedy, Romance, Youth, Sports",Viki
"Noble, My Love","Comedy, Romance",Apple TV
Cheer Up,"Mystery, Comedy, Romance, Youth",Viki
Can I Step In?,"Mystery, Comedy, Romance, Drama",
"No, Thank You","Comedy, Romance, Life, Drama",Viki
Want More 19,"Comedy, Romance, Drama",WeTV
Person Who Gives Happiness,"Romance, Family",
Love for a Thousand More,"Music, Comedy, Romance, Supernatural",
What's Your Blood Type?,Comedy,
Cleaning Up,"Comedy, Crime, Drama",Netflix
Rugal,"Action, Thriller, Crime, Sci-Fi",Netflix
Radio Romance,"Business, Comedy, Romance",Netflix
Crushes Reverse,"Romance, Life, Youth",
Woman of 9.9 Billion,"Thriller, Mystery, Drama",Viki
The Banker,"Business, Drama, Political",Viki
Record of Youth,"Romance, Life, Youth, Drama",Netflix
Six Love Story,"Comedy, Romance, Life, Drama",
Behind Every Star,"Comedy, Romance, Life",Netflix
Radiant Office,"Business, Comedy, Romance, Drama",Kocowa
Dae Jang Geum Is Watching,"Food, Comedy, Romance, Supernatural",Viki
Soul Plate,"Food, Fantasy",
Temperature of Love,"Food, Comedy, Romance, Life",Apple TV
The Heavenly Idol,"Comedy, Romance, Drama, Fantasy",Viki
The Escape of the Seven: War for Survival,"Thriller, Mystery, Drama",Wavve
Convenience Store Fling,Romance,Dingo K-Drama
Color Rush,"Mystery, Romance, Drama, Supernatural",Apple TV
The Producers,"Comedy, Romance, Drama",Netflix
Witch's Love,"Comedy, Romance, Drama, Fantasy",Viki
Assembly,"Law, Drama, Political",Viki
Our Relationship Ended before It Began,"Romance, Drama",
"Breakup Probation, A Week","Romance, Drama, Fantasy",Viki
Grid,"Action, Thriller, Mystery, Sci-Fi",Disney+
Golden Pouch,"Food, Romance, Drama, Melodrama",
Enemies from the Past,"Romance, Family, Melodrama",
Risky Romance,"Comedy, Romance, Medical",Apple TV
Make a Woman Cry,"Romance, Drama, Melodrama",
Failing in Love,"Romance, Life, Youth, Drama",Viki
Woman with a Suitcase,"Law, Drama, Melodrama",
Re-Feel,"Comedy, Romance, Youth, Drama",WeTV
About Time,"Music, Romance, Fantasy, Melodrama",Apple TV
Boss-dol Mart,"Business, Comedy, Drama",Viki
"Remember, Hari 2","Mystery, Horror, Romance, Supernatural",Tooniverse
New Love Playlist,"Romance, Youth, Drama",Viki
Unicorn,"Comedy, Sitcom",
Bon Appetit,"Food, Romance",iQIYI
Love Is for Suckers,"Comedy, Romance",Viki
The Sound of Your Heart: Reboot Season 2,"Comedy, Family, Sitcom",Netflix
Warm and Cozy,"Food, Comedy, Romance",Netflix
"Yeah, That's How It Is","Comedy, Romance, Family",
Hush,"Mystery, Business, Comedy, Life",iQIYI
Taste of Cat,"Comedy, Romance, Drama, Supernatural",
Let Me Off the Earth,"Romance, Youth, Drama, Fantasy",PlayList Global
Hunted,"Thriller, Mystery",Viki
The Spies Who Loved Me,"Action, Mystery, Comedy, Romance",iQIYI
Vampire Detective,"Thriller, Mystery, Supernatural",Prime Video
Graceful Friends,"Mystery, Life, Drama",Disney+ Hotstar
I Wanna Hear Your Song,"Music, Mystery, Comedy, Romance",Viki
Just One Bite: Pilot,Romance,PlayList Global
Must You Go?,"Music, Historical, Romance, Fantasy",Viki
Youtuber Class,"Life, Youth",KOK TV
Not a Robot,"Romance, Youth, Sci-Fi",Dingo K-Drama
Wish Woosh Season 2,"Comedy, Romance, Drama",WeTV
To Be Continued,"Music, Comedy, Fantasy",
Ghost VRos,"Mystery, Comedy, Supernatural",Viki
Wish You: Your Melody From My Heart,"Music, Romance, Drama",Netflix
The Time We Were Not in Love,"Comedy, Romance, Youth",Viki
Lovers in Bloom,"Comedy, Romance, Melodrama",KBS World
A Model Family,"Thriller, Mystery, Crime, Drama",Netflix
My Healing Love,"Life, Drama, Family",Kocowa
The Guilty Secret,"Comedy, Romance, Youth, Drama",WeTV
"Remember, Hari","Mystery, Horror, Romance, Supernatural",WeTV
The Liar and His Lover,"Music, Comedy, Romance, Youth",WeTV
The Master of Revenge,"Food, Mystery, Drama, Melodrama",Viki
"Maybe, Maybe Not","Comedy, Romance, Life, Supernatural",STUDIO DIA
Hide and Seek,"Romance, Drama, Melodrama",Apple TV
Mute,"Music, Romance, Supernatural",Viki
Doubtful Victory,"Thriller, Mystery, Drama",SBS World
"Hyde, Jekyll, Me","Psychological, Comedy, Romance, Drama",Netflix
4 Reasons Why I Hate Christmas,"Comedy, Romance, Drama",PlayList Global
"Good-bye, Mr. Black","Thriller, Business, Romance, Drama",Viki
The Lover,"Comedy, Romance, Life",
Mrs. Cop Season 2,"Mystery, Drama",Apple TV
I Picked Up a Star on the Road,"Comedy, Romance",Apple TV
Second to Last Love,"Romance, Life, Drama",Viki
Govengers,"Comedy, Youth, Supernatural",Kocowa
9 Seconds: Eternal Time,"Romance, Life, Drama, Supernatural",
"Don't Lie, Rahee","Romance, Youth",KOK TV
Cold Blooded Intern,"Comedy, Life, Drama",VIU Indonesia
Yellow,"Music, Romance, Youth",WeTV
"Romance, Talking","Romance, Youth, Drama",KBS World
Love Scene Number,"Romance, Life, Drama",Viki
Love Mate,"Comedy, Romance, Drama",Viki
100% Era,"Romance, Youth",
Love Playlist Pilot,"Romance, Life, Youth, Drama",PlayList Global
A Daughter Just Like You,"Comedy, Romance, Family, Melodrama",Wavve
Summer Guys,"Music, Romance, Youth, Drama",Viki
Unkind Women,"Comedy, Romance, Drama",KBS World
Real:Time:Love,"Comedy, Romance, Drama, Sitcom",WeTV
Tong: Memories,"Action, Youth, Drama",Netflix
Love (ft. Marriage and Divorce) Season 2,"Romance, Life, Drama",Netflix
Your Imagination Becomes Reality,"Romance, Youth",채널 십오야 15Ya
Yonder,"Life, Drama, Sci-Fi, Melodrama",Prime Video
The IDOLM@STER.KR,Music,Prime Video
One More Time,"Music, Romance, Youth, Fantasy",Netflix
Pandora: Beneath the Paradise,"Action, Thriller, Drama, Melodrama",Disney+
Secret Playlist,"Romance, Youth, Drama",TVING
Drinking Solo,"Food, Comedy, Romance",
My Secret Romance,"Comedy, Romance, Life, Drama",Apple TV
Pumpkin Time,"Romance, Youth, Sports, Fantasy",WeTV
Bad Papa,"Adventure, Romance, Drama, Sports",Kocowa
The Best Moment to Quit Your Job,"Comedy, Romance, Life, Drama",
"Father, I’ll Take Care of You","Romance, Drama, Melodrama",Viki
